name,date_of_birth,height,weight,spike,block,position_number
Anna Koike,16/12/1996,162,62,263,253,2
Slavena Nikova,07/06/1996,180,72,290,280,2
Elitsa Barakova,11/03/1997,184,60,290,280,3
Polina Neykova,07/10/1998,182,73,287,280,1
Simona Nikolova,29/07/1997,190,75,308,300,4
Iveta Stanchulova,11/08/1997,186,72,290,285,3
Vangeliya Rachkovska,19/07/1997,185,67,296,281,2
Gergana Dimitrova,28/02/1996,184,71,305,288,2
Miroslava Paskova,16/02/1996,180,67,299,280,2
Kristiana Petrova,13/07/1997,177,70,290,282,2
Radostina Marinova,02/10/1998,183,62,287,279,3
Zhana Todorova,06/01/1997,170,56,271,255,6
Mirela Shahpazova,28/10/1997,175,65,280,270,1
